생활권,시설명,시설세분,위     치,조성면적
고운동,완1-1,완충녹지,세종특별자치시 고운동 888공,7806.9
고운동,완1-2,완충녹지,세종특별자치시 고운동 1388공,667.0
고운동,완1-3,완충녹지,세종특별자치시 고운동 1391공,1100.7
고운동,완1-4,완충녹지,세종특별자치시 고운동 1397공,2270.0
고운동,완1-5,완충녹지,세종특별자치시 아름동 1399공,951.1
고운동,완1-6,완충녹지,세종특별자치시 고운동 2104공,1381.2
고운동,완1-7,완충녹지,세종특별자치시 고운동 1707공,3556.3
고운동,완1-8,완충녹지,세종특별자치시 고운동 1725공,1532.0
고운동,완1-9,완충녹지,세종특별자치시 고운동 1727공,1245.4
고운동,완1-10,완충녹지,세종특별자치시 고운동 1904공,6235.4
고운동,완1-11,완충녹지,세종특별자치시 고운동 2054공,8519.8
아름동,완1-12,완충녹지,세종특별자치시 아름동 806공,2008.0
아름동,완1-13,완충녹지,세종특별자치시 아름동 809공,5534.8
아름동,완1-14,완충녹지,세종특별자치시 아름동 1303공,4206.6
아름동,완1-33,완충녹지,세종특별자치시 아름동 1376공,1377.1
아름동,완1-34,완충녹지,세종특별자치시 아름동 1374공,1752.1
종촌동,완1-35,완충녹지,세종특별자치시 종촌동 639공,3233.6
종촌동,완1-36,완충녹지,세종특별자치시 종촌동 680공,1430.1
종촌동,완1-37,완충녹지,세종특별자치시 종촌동 685공,1080.0
종촌동,완1-38,완충녹지,세종특별자치시 종촌동 688공,8313.7
종촌동,완1-39,완충녹지,세종특별자치시 종촌동 689공,6787.8
종촌동,완1-40,완충녹지,세종특별자치시 종촌동 693공,3177.7
종촌동,완1-41,완충녹지,세종특별자치시 종촌동 699공,3432.9
어진동,완1-54,완충녹지,세종특별자치시 어진동 677공,855.8
어진동,완1-55,완충녹지,세종특별자치시 어진동 681공,925.5
아름동,완1-57,완충녹지,세종특별자치시 아름동 2086공,2318.7
아름동,완1-58,완충녹지,세종특별자치시 아름동 818공,826.6
다정동,완2-1,완충녹지,세종특별자치시 다정동 산30임 일원,5964.6
다정동,완2-2,완충녹지,세종특별자치시 다정동 산30임 일원,6496.6
다정동,완2-4,완충녹지,세종특별자치시 다정동 365답 일원,12370.8
다정동,완2-5,완충녹지,세종특별자치시 다정동 363-292임 일원,6399.8
다정동,완2-6,완충녹지,세종특별자치시 다정동 산55임 일원,7845.0
새롬동,완2-8,완충녹지,세종특별자치시 새롬동 555공,4885.1
새롬동,완2-9,완충녹지,세종특별자치시 새롬동 557공,3748.5
한솔동,완2-12,완충녹지,세종특별자치시 한솔동 1103공  1241공  1242공,25406.6
한솔동,완2-13,완충녹지,세종특별자치시 한솔동 1225공,2023.6
한솔동,완2-14,완충녹지,세종특별자치시 한솔동 919공,1410.9
한솔동,완2-15,완충녹지,세종특별자치시 한솔동 920공,400.6
한솔동,완2-16,완충녹지,세종특별자치시 한솔동 918공,1742.7
한솔동,완2-17,완충녹지,세종특별자치시 한솔동 938공,2125.0
한솔동,완2-18,완충녹지,세종특별자치시 한솔동 1243공,4255.1
한솔동,완2-19,완충녹지,세종특별자치시 한솔동 983공,3637.1
한솔동,완2-21,완충녹지,세종특별자치시 한솔동 977공,1778.4
한솔동,완2-22,완충녹지,세종특별자치시 한솔동 960공,1152.7
한솔동,완2-23,완충녹지,세종특별자치시 한솔동 949공,3476.2
한솔동,완2-24,완충녹지,세종특별자치시 한솔동 948공,349.1
한솔동,완2-25,완충녹지,세종특별자치시 한솔동 1102공,838.0
한솔동,완2-26,완충녹지,세종특별자치시 한솔동 1091공,908.9
한솔동,완2-27,완충녹지,세종특별자치시 한솔동 917공,665.1
한솔동,완2-28,완충녹지,세종특별자치시 한솔동 1074공,858.7
한솔동,완2-29,완충녹지,세종특별자치시 한솔동 1073공,562.6
한솔동,완2-30,완충녹지,세종특별자치시 한솔동 1046공,402.3
한솔동,완2-31,완충녹지,세종특별자치시 한솔동 1053공,424.5
새롬동,완2-35,완충녹지,세종특별자치시 새롬동 560공,2704.7
새롬동,완2-36,완충녹지,세종특별자치시 새롬동 562공,1671.4
소담동,완3-2,완충녹지,세종특별자치시 소담동 599공  9-98임 일원,2480.2
대평동,완3-3,완충녹지,세종특별자치시 대평동 650공  583-3답 일원,4355.0
소담동,완3-4,완충녹지,세종특별자치시 소담동 584공,6264.6
소담동,완3-5,완충녹지,세종특별자치시 소담동 583공,4161.4
가람동,완S-2,완충녹지,세종특별자치시 가람동 958공,6340.6
가람동,완S-3,완충녹지,세종특별자치시 가람동 959공,5109.2
고운동,경1-1,경관녹지,세종특별자치시 고운동 889공,282666.8
고운동,경1-3,경관녹지,세종특별자치시 고운동 1389공,3504.2
고운동,경1-4,경관녹지,세종특별자치시 고운동 1205공,1067.5
고운동,경1-5,경관녹지,세종특별자치시 고운동 1198공,1000.5
고운동,경1-6,경관녹지,세종특별자치시 고운동 1291공,742.2
고운동,경1-7,경관녹지,세종특별자치시 고운동 1301공,1266.4
고운동,경1-8,경관녹지,세종특별자치시 고운동 1367공,1439.0
고운동,경1-9,경관녹지,세종특별자치시 고운동 1402공,2758.1
고운동,경1-10,경관녹지,세종특별자치시 고운동 1410공,3202.3
고운동,경1-11,경관녹지,세종특별자치시 고운동 1579공,1654.1
고운동,경1-12,경관녹지,세종특별자치시 고운동 1662공,2154.5
고운동,경1-13,경관녹지,세종특별자치시 고운동 1394공,3605.1
고운동,경1-14,경관녹지,세종특별자치시 고운동 1704공,3680.2
고운동,경1-15,경관녹지,세종특별자치시 고운동 1730공,3917.8
고운동,경1-16,경관녹지,세종특별자치시 고운동 1798공,456.1
고운동,경1-17,경관녹지,세종특별자치시 고운동 1880공,840.0
고운동,경1-18,경관녹지,세종특별자치시 고운동 1726공,4299.1
아름동,경1-19,경관녹지,세종특별자치시 아름동 1338공  1339-1대,4626.5
아름동,경1-20,경관녹지,세종특별자치시 아름동 1355공,6700.0
아름동,경1-21,경관녹지,세종특별자치시 아름동 1447공,2285.8
아름동,경1-22,경관녹지,세종특별자치시 아름동 1454공,988.8
종촌동,경1-23,경관녹지,세종특별자치시 종촌동 641공,3188.5
종촌동,경1-24,경관녹지,세종특별자치시 종촌동 650공,6874.1
종촌동,경1-25,경관녹지,세종특별자치시 종촌동 651공,6380.5
종촌동,경1-26,경관녹지,세종특별자치시 종촌동 682공,3085.3
