순번,의료기관명,의료기관종,의료기관주소(도로명),의료기관전화번호,등록기준일,읍면동명
1,밝은한방병원,병원,세종특별자치시 한누리대로 2264 씨티오브드림 4~5층6(일부)층 (대평동),044-867-9300,2022-11-15,대평동
2,세종경희한방병원,병원,세종특별자치시 대평4길 17 센트럴테라스 4 5층 (대평동),044-414-9599,2022-11-15,대평동
3,세종충남대학교병원,병원,세종특별자치시 보듬7로 20 세종충남대학교병원 (도담동),044-995-4101,2022-11-15,도담동
4,오케이한방병원,병원,세종특별자치시 한누리대로 331 2층3층 (301~315)호 (나성동 SR파크센텀),044-1668-0090,2022-11-15,나성동
5,트리니움여성병원,병원,세종특별자치시 한누리대로 1934 메인타워 (반곡동),044-270-0114,2022-11-15,반곡동
6,의료법인 영제 의료재단 엔케이세종병원,병원,세종특별자치시 한누리대로 161 세종시 NK리움힐 상가 1~8층 (나성동),044-850-7700,2022-11-15,나성동
7,단국대학교 치과대학 세종치과병원,병원,세종특별자치시 도움8로 87 (어진동 단국빌딩),044-410-5000,2022-11-15,어진동
8,의료법인은혜의료재단 은혜기독병원,병원,세종특별자치시 연서면 효교로 135-30,044-868-5004,2022-11-15,연서면
9,운주산성요양병원,병원,세종특별자치시 전동면 모산고개길 96-25,1544-0240,2022-11-15,전동면
10,세종요양병원,병원,세종특별자치시 장군면 구석뜸길 140,044-881-1711,2022-11-15,장군면
11,한마음효요양병원,병원,세종특별자치시 조치원읍 금이로 53-11,044-863-7200,2022-11-15,조치원읍
12,조치원노인전문병원,병원,세종특별자치시 연서면 도신고복로 789-17,044-862-7607,2022-11-15,연서면
13,의료법인 선은의료재단 중앙요양병원,병원,세종특별자치시 조치원읍 섭골길 37,044-865-0066,2022-11-15,조치원읍
14,세종특별자치시보건소,보건소,세종특별자치시 조치원읍 대첩로 32 세종특별자치시보건소,044-301-2000,2022-11-15,조치원읍
15,남부통합보건지소,보건지소,세종특별자치시 새롬로 14 3층 (새롬동),044-301-2400,2022-11-15,새롬동
16,부강면보건지소,보건지소,세종특별자치시 부강면 부강5길 38 (부강면사무소),044-301-2232,2022-11-15,부강면
17,소정면보건지소,보건지소,세종특별자치시 소정면 소정구길 201 소정면보건지소,044-301-2292,2022-11-15,소정면
18,연동면보건지소,보건지소,세종특별자치시 연동면 장욱진로 7 연동면 복합커뮤니티센터,044-301-2223,2022-11-15,연동면
19,전의면보건지소,보건지소,세종특별자치시 전의면 만세길 20-12,044-301-2273,2022-11-15,전의면
20,연기면보건지소,보건지소,세종특별자치시 연기면 당산로 81,044-301-2212,2022-11-15,연기면
21,금남면보건지소,보건지소,세종특별자치시 금남면 용포로 59,044-301-2243,2022-11-15,금남면
22,전동면보건지소,보건지소,세종특별자치시 전동면 운주산로 386,044-301-2282,2022-11-15,전동면
