업종,신고번호,상호,우편번호,시설주소(지번),시설주소(도로명),시설부지면적(제곱미터),시설면적(제곱미터),건물연면적(제곱미터),건물구조,지역구분,영업구분,최초등록일자,최근변경일자,민원처리여부,민원처리일자,실내여부,지도자1급,지도자2급,지도자3급,운동시설세부,체육도장업분류여부,체육도장업상세분류,등록기준일
수영장업,30101-1994-000001,SJ수영장,,세종특별자치시 연기면 누리리 202-4 ,,,,352,,,영업중,1994-08-27,1994-08-27,,,실외,,,,,N,,2022-11-30
수영장업,30101-2016-000001,키즈월드스위밍클럽,30100,세종특별자치시 아름동,세종특별자치시 세종로 1234-8 6층 (아름동 온드림프라자),,523,,철골콘크리트조,일반상업지역,영업중,2016-05-17,,해결,2016-05-17,실내,,2,,,Y,,2022-11-30
수영장업,30101-2017-000001,보람수영장,30150,세종특별자치시 보람동,세종특별자치시 호려울로 42 (보람동 보람동주민센터),11695,1145,15360,철골콘크리트조,준주거지역,영업중,2017-06-14,,해결,2017-06-14,실내,,2,,,Y,,2022-11-30
수영장업,30101-2017-000002,세종 훼미리랜드 수영장,30054,세종특별자치시 장군면,세종특별자치시 장군면 산학리길 241-5,2438,2438,,,관리지역,영업중,2017-07-26,2021-02-10,해결,2021-02-10,실외,,,,,Y,,2022-11-30
수영장업,30101-2017-000003,키즈월드 스위밍클럽 세종한솔점,30130,세종특별자치시 한솔동 1061 ,세종특별자치시 누리1로 81 지하1층 101호 (한솔동),,454,,철골콘크리트조,전용주거지역,영업중,2017-08-23,,해결,2017-08-23,실내,,2,,,Y,,2022-11-30
수영장업,30101-2018-000001,에듀풀 키즈 스위밍,30121,세종특별자치시 어진동 686 뱅크빌딩 ,세종특별자치시 한누리대로 350 뱅크빌딩 3층 308호 (어진동),,,,철근콘크리트조,,영업중,2018-03-23,,해결,2018-03-23,실내,,1,,,Y,,2022-11-30
수영장업,30101-2018-000002,스윔슐레(세종캠퍼스),30127,세종특별자치시 새롬동 산 6 세종영광프라자 ,세종특별자치시 새롬중앙로 64 세종영광프라자 303304305306호 (새롬동),,553,,,,영업중,2018-04-27,2020-04-28,해결,2020-04-28,실내,,,1,수영조면적 [제곱미터] 280,Y,,2022-11-30
수영장업,30101-2018-000003,조이풀수영장 아름점,30100,세종특별자치시 아름동 1329 다올비즈니스센터 ,세종특별자치시 아름서1길 13-9 다올비즈니스센터 지하1층 101호 (아름동),1933,725,15441,철골콘크리트조,일반상업지역,영업중,2018-05-30,2021-07-28,해결,2021-07-29,실내,,1,,,Y,,2022-11-30
수영장업,30101-2018-000004,다온숲,30012,세종특별자치시 전동면 보덕리 292 ,세종특별자치시 전동면 깊은내길 213,,1035,,,,영업중,2018-07-14,,해결,2018-07-14,실외,,,,수영조면적 [제곱미터] : 1035,Y,,2022-11-30
수영장업,30101-2019-000001,조이풀수영장,30083,세종특별자치시 금남면 용포리 330 ,세종특별자치시 금남면 용포2길 7 더블유빌딩 1층,,,,,,영업중,2019-05-29,2021-06-03,해결,2021-06-03,실내,,,1,,Y,,2022-11-30
수영장업,30101-2019-000002,키즈월드스위밍클럽,30130,세종특별자치시 한솔동 1061 ,세종특별자치시 누리1로 81 목화상가 지하층 1호 (한솔동),,,,,,영업중,2019-06-21,,해결,2019-06-21,실내,,1,,,Y,,2022-11-30
수영장업,30101-2019-000003,한솔동복합커뮤니티센터 정음관 수영장,30130,세종특별자치시 한솔동 961 한솔동 복합커뮤니티센터 정음관 ,세종특별자치시 나리로 57-26 한솔동 복합커뮤니티센터 정음관 1층 (한솔동),4276,1964,8376,철근콘크리트조,일반주거지역,영업중,2019-08-29,,해결,2019-08-29,실내,,2,,수영조면적 [제곱미터] : 462,Y,,2022-11-30
체육도장업,30102-1990-000003,조치원권투체육관,30023,세종특별자치시 조치원읍 교리 25-1 ,세종특별자치시 조치원읍 새내13길 7,,298,,철골조,,영업중,1990-02-01,2009-02-06,해결,2009-02-06,실내,0,0,1,바닥면적 [제곱미터] : 222,Y,권투,2022-11-30
체육도장업,30102-1992-000001,용인대석사체육관,,세종특별자치시 조치원읍 신흥리 77-11 ,세종특별자치시 조치원읍 대첩로 15,291,164,164,,,영업중,1992-03-30,2015-04-28,해결,2015-04-28,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-1994-000003,충무관검도교실,,세종특별자치시 조치원읍 교리 10-1 ,,,481,1340,목구조,일반주거지역,영업중,1994-06-13,1994-06-13,,,실외,,,,,N,검도,2022-11-30
체육도장업,30102-1994-000005,노형가무술원,,세종특별자치시 부강면 부강리 458-2 ,세종특별자치시 부강면 시장길 37,0,0,0,,,영업중,1994-02-22,,,,실내,0,0,0,,Y,태권도,2022-11-30
체육도장업,30102-1995-000002,세종태권도,,세종특별자치시 조치원읍 침산리 275-5 ,세종특별자치시 조치원읍 문화길 39,238,179,996,,,영업중,1995-05-23,2018-10-04,해결,2018-10-04,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-1998-000001,신흥 태권도,30031,세종특별자치시 조치원읍 신흥리 226 ,세종특별자치시 조치원읍 이화로 6-1,,264,,,,영업중,1998-12-03,2011-11-10,해결,2011-11-11,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2001-000002,다윗체육관,,세종특별자치시 연기면 연기리 386-2 ,세종특별자치시 연기면 당산로 122-2,,89,,,,영업중,2001-01-05,,,,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2004-000001,경희대석사 수덕 태권도,,세종특별자치시 금남면 용포리 122-3 ,세종특별자치시 금남면 용포2길 72,,121,,,,영업중,2004-08-27,2017-11-27,해결,2017-11-28,실외,0,0,1,,Y,태권도,2022-11-30
체육도장업,30102-2006-000001,힘찬 태권 스쿨,30038,세종특별자치시 조치원읍 죽림리 114-1 ,세종특별자치시 조치원읍 세종로 2282 7층 710 711호,2747,298,20137,,,영업중,2006-09-11,2019-06-18,해결,2019-06-18,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2006-000002,예도체육관,30032,세종특별자치시 조치원읍 신흥리 398 푸르지오1차 ,세종특별자치시 조치원읍 도원1로 16 상가동 301 302호 (푸르지오1차),,228,,,근린상업지역,영업중,2006-09-29,2019-07-17,해결,2019-07-17,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2007-000002,세종 태권 길라잡이,30016,세종특별자치시 조치원읍 신안리 414-5 세종E편한세상 상가201 202호 ,세종특별자치시 조치원읍 섭골길 59 (세종e편한세상아파트),,92,,,,영업중,2007-01-23,2016-03-29,해결,2016-03-29,실외,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2007-000004,엘리트태권도장,,세종특별자치시 연서면 봉암리 209-4 2층 ,세종특별자치시 연서면 당산로 349 (2층),425,184,395,,,영업중,2007-07-27,2021-09-07,해결,2021-09-07,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2008-000001,벧엘 태권도장,,세종특별자치시 금남면 용포리 99-1 ,세종특별자치시 금남면 용포중앙1길 30,,,,,,영업중,2008-02-04,2008-02-04,해결,2008-02-04,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2008-000002,세종승리태권도,,세종특별자치시 조치원읍 상리 85 ,세종특별자치시 조치원읍 새내10길 87,375,169,493,,,영업중,2008-08-21,2020-05-06,해결,2020-05-06,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2008-000003,도명 태권 마루,30004,세종특별자치시 전의면,세종특별자치시 전의면 읍내길 10,,198,,철골조,일반주거지역,영업중,2008-10-31,2016-11-18,해결,2016-11-21,실내,0,0,1,바닥면적 [제곱미터] : 198,Y,태권도,2022-11-30
체육도장업,30102-2011-000002,자이다이어트 복싱＆태권도,30039,세종특별자치시 조치원읍 죽림리 396-0 자이아파트 상가 301동 B101호,세종특별자치시 조치원읍 도원로 16,84206,,268,철골콘크리트조,전용주거지역,영업중,2011-07-13,,해결,2011-07-13,실외,,,1,바닥면적 [제곱미터] : 181,Y,태권도,2022-11-30
체육도장업,30102-2011-000003,세종 효 태권도,30039,세종특별자치시 조치원읍 죽림리 396 자이아파트 상가동 303호 304호 ,세종특별자치시 조치원읍 도원로 16 (자이아파트 상가동 303 304호),,97,,철골콘크리트조,근린상업지역,영업중,2011-11-15,2017-06-08,해결,2017-06-09,실외,,,,,Y,태권도,2022-11-30
체육도장업,30102-2011-000005,태산키움태권도체육관,,세종특별자치시 장군면 도계리 154-11 ,,343,117,117,철근콘크리트조,관리지역,영업중,2011-10-24,2012-06-28,해결,2020-06-02,실내,0,0,1,,N,태권도,2022-11-30
체육도장업,30102-2012-000002,국가대표 단국대 상무태권도 합기도(첫마을 6단지관),30130,세종특별자치시 한솔동 984 ,세종특별자치시 누리로 27 상가동 201호 (한솔동),,,166,철골콘크리트조,,영업중,2012-07-10,2015-06-30,해결,2015-06-30,실내,,,1,,Y,태권도,2022-11-30
